Date,Close,Volume,Open,High,Low
6/12/2013,23.77,26404420,24.16,24.26,23.58
6/13/2013,23.73,31095780,23.72,23.83,23.27
6/14/2013,23.63,30603420,23.56,23.89,23.26
6/17/2013,24.02,33601370,23.91,24.25,23.75
6/18/2013,24.21,36667860,24.09,24.69,24.08
6/19/2013,24.31,31732970,24.2,25.19,24.1
6/20/2013,23.9,42716660,24.28,24.75,23.65
6/21/2013,24.53,45800870,24.59,24.7,24.05
6/24/2013,23.94,40586430,23.95,24.11,23.38
6/25/2013,24.25,24710300,24.14,24.43,24.04
6/26/2013,24.16,29860530,24.51,24.65,23.99
6/27/2013,24.66,34641060,24.24,24.84,24.21
6/28/2013,24.88,96737620,24.68,24.98,24.42
7/1/2013,24.81,20539520,24.97,25.06,24.62
7/2/2013,24.41,18346010,24.7,24.77,24.3
7/3/2013,24.52,10404330,24.22,24.71,24.15
7/5/2013,24.37,20202440,24.65,24.66,24.2
7/8/2013,24.71,27043580,24.47,25.04,24.42
7/9/2013,25.48,30334450,25.07,25.49,25.03
7/10/2013,25.8,26744350,25.58,25.83,25.47
7/11/2013,25.81,26756400,25.96,26,25.45
7/12/2013,25.91,16498340,25.74,25.93,25.55
7/15/2013,26.28,24200400,25.93,26.43,25.65
7/16/2013,26.32,30779130,26.39,26.75,26.01
7/17/2013,26.65,21491940,26.37,26.78,26.3
7/18/2013,26.18,24697620,26.75,26.77,26.12
7/19/2013,25.88,46515740,25.82,26.11,25.6
7/22/2013,26.05,27490350,25.99,26.13,25.72
7/23/2013,26.13,28138680,26.1,26.3,25.97
7/24/2013,26.51,75364480,26.32,26.53,26.05
7/25/2013,34.36,365091700,33.55,34.88,32.75
7/26/2013,34.01,135881500,33.77,34.73,33.56
7/29/2013,35.43,124716100,34.07,35.63,34.01
7/30/2013,37.63,172937500,35.65,37.96,35.32
7/31/2013,36.8,154704200,37.96,38.31,36.33
8/1/2013,37.49,105865000,37.3,38.29,36.92
8/2/2013,38.05,72731240,37.66,38.49,37.5
8/5/2013,39.19,79798290,38.43,39.32,38.25
8/6/2013,38.55,63834190,39.11,39.25,37.94
8/7/2013,38.87,68711580,38.61,38.94,37.7
8/8/2013,38.54,41182770,39.13,39.19,38.43
8/9/2013,38.5,43510970,38.59,38.74,38.01
8/12/2013,38.22,31096900,38.2,38.5,38.1
8/13/2013,37.02,65248000,38.24,38.32,36.77
8/14/2013,36.65,48299100,36.83,37.55,36.62
8/15/2013,36.56,56429530,36.36,37.07,36.02
8/16/2013,37.08,45749580,36.97,37.49,36.9
8/19/2013,37.81,57411950,37.43,38.28,37.14
8/20/2013,38.41,57879220,38.35,38.58,37.69
8/21/2013,38.32,45998690,38.38,38.85,38.15
8/22/2013,38.55,21859280,38.37,38.75,38.34
8/23/2013,40.55,86246160,39,40.63,38.93
8/26/2013,41.34,93901000,40.9,41.94,40.62
8/27/2013,39.64,72556560,40.68,41.2,39.42
8/28/2013,40.55,57617060,39.96,40.85,39.88
8/29/2013,41.28,58153720,40.89,41.78,40.8
8/30/2013,41.29,67565220,42.03,42.26,41.06
