Date,Close/Last,Volume,Open,High,Low
7/24/2012,306.91,2006206.00,310.66,312.14,305.28
7/25/2012,307.12,1822973.00,307.29,309.85,305.80
7/26/2012,309.84,1684905.00,310.66,311.61,308.15
7/27/2012,320.75,3548453.00,312.63,320.77,311.93
7/30/2012,319.40,2186607.00,321.30,324.61,317.99
7/31/2012,319.74,1863427.00,317.36,321.52,317.34
8/1/2012,319.60,1844456.00,321.93,323.04,318.94
8/2/2012,317.61,1977690.00,315.97,322.30,314.91
8/3/2012,323.96,1896878.00,323.29,325.17,321.34
8/6/2012,324.72,1782094.00,323.10,328.03,322.90
8/7/2012,323.57,1981795.00,324.20,325.44,321.51
8/8/2012,324.42,1320536.00,322.81,326.26,322.54
8/9/2012,324.48,1057880.00,325.57,326.51,324.06
8/10/2012,324.30,1434408.00,322.58,324.42,321.34
8/13/2012,333.40,3267551.00,327.04,333.47,326.67
8/14/2012,337.77,3660483.00,333.02,339.89,332.89
8/15/2012,337.20,2410680.00,338.59,340.59,335.47
8/16/2012,339.90,1717691.00,337.19,340.79,336.97
8/17/2012,342.05,2177596.00,340.53,342.11,339.31
8/20/2012,341.25,1756206.00,341.23,342.93,339.79
8/21/2012,338.20,2221205.00,340.02,342.49,334.49
8/22/2012,342.07,1908504.00,337.12,343.80,336.78
8/23/2012,341.88,1783743.00,340.60,343.74,338.95
8/24/2012,342.81,1426194.00,341.28,343.73,340.51
8/27/2012,338.05,2613607.00,334.91,339.46,333.01
8/28/2012,342.11,2057213.00,335.92,342.30,335.79
8/29/2012,347.54,2988737.00,342.17,348.04,341.55
8/30/2012,344.35,1626719.00,345.64,347.23,343.59
8/31/2012,346.07,2125576.00,345.52,347.83,343.52
9/4/2012,344.02,1889318.00,345.80,346.02,340.22
9/5/2012,343.86,1708169.00,343.50,346.78,343.06
9/6/2012,353.30,3042880.00,346.51,353.55,345.89
9/7/2012,356.71,3231250.00,353.60,359.79,352.42
9/10/2012,353.99,2559567.00,358.53,360.07,352.79
9/11/2012,349.66,1869256.00,352.57,353.93,349.06
9/12/2012,348.99,2641060.00,348.25,351.03,343.94
9/13/2012,356.65,2657503.00,350.11,358.15,348.82
9/14/2012,358.49,2618474.00,358.45,360.17,357.14
9/17/2012,358.64,1507518.00,357.70,360.11,356.13
9/18/2012,362.84,2066329.00,357.53,363.03,357.03
9/19/2012,367.49,3097447.00,362.44,368.03,361.89
9/20/2012,367.80,2906562.00,365.96,369.45,364.32
9/21/2012,370.77,6356170.00,369.87,371.24,368.82
9/24/2012,378.55,3560175.00,369.26,378.88,368.88
9/25/2012,378.43,6048362.00,380.40,386.38,377.68
9/26/2012,380.61,5672350.00,378.78,384.54,374.31
9/27/2012,382.14,3920387.00,383.88,385.34,379.69
9/28/2012,381.13,2783390.00,380.96,383.56,379.44
10/1/2012,384.81,3167487.00,383.43,386.44,382.00
10/2/2012,382.39,2768926.00,386.54,386.94,379.00
10/3/2012,385.17,2208139.00,381.75,385.89,379.97
10/4/2012,387.98,2452198.00,385.30,388.91,383.61
10/5/2012,387.77,2735841.00,389.32,391.17,386.44
10/8/2012,382.82,1957226.00,384.42,385.72,380.96
10/9/2012,375.87,3002784.00,383.74,384.58,375.09
10/10/2012,376.11,2039703.00,374.75,377.61,372.94
10/11/2012,379.61,2383687.00,380.32,383.15,379.01
10/12/2012,376.21,2403670.00,379.79,381.32,375.88
10/15/2012,374.30,3017878.00,374.79,375.74,369.11
10/16/2012,376.18,2058068.00,373.87,377.34,372.02
10/17/2012,381.63,2292519.00,375.80,382.06,373.94
10/18/2012,351.08,12407870.00,381.66,383.62,341.48
10/19/2012,344.40,11479490.00,356.42,356.99,339.46
10/22/2012,342.83,4055372.00,344.01,345.84,338.30
10/23/2012,343.68,2915611.00,339.46,347.20,339.46
10/24/2012,342.14,2494311.00,346.93,347.03,341.11
10/25/2012,342.37,2399090.00,343.50,344.51,340.22
10/26/2012,341.05,1950865.00,341.73,345.03,339.05
10/31/2012,343.65,1536501.00,343.43,344.00,340.97
11/1/2012,347.33,2048771.00,343.25,349.00,342.85
11/2/2012,347.50,2324369.00,350.97,351.35,347.22
11/5/2012,344.99,1635894.00,345.77,346.96,341.26
11/6/2012,344.37,1582791.00,346.27,346.78,342.26
11/7/2012,336.99,2231507.00,340.97,342.61,336.67
11/8/2012,329.50,2596940.00,338.55,339.20,328.97
11/9/2012,334.93,3114084.00,330.69,337.61,328.50
11/12/2012,336.38,1405870.00,335.29,338.35,333.84
11/13/2012,332.92,1593945.00,334.91,337.23,332.50
11/14/2012,329.63,1667792.00,333.73,334.50,328.60
11/15/2012,326.96,1848663.00,328.34,333.40,325.26
11/16/2012,326.92,3437836.00,326.32,329.87,321.27
11/19/2012,337.54,2368104.00,331.22,337.90,331.14
11/20/2012,338.43,2087785.00,338.20,342.49,335.70
11/21/2012,336.36,2111456.00,337.94,338.35,333.60
11/23/2012,337.42,922477.00,338.43,338.45,336.48
11/26/2012,333.98,2202401.00,336.65,336.93,332.90
11/27/2012,338.81,2508178.00,333.48,340.97,332.39
11/28/2012,345.35,3041840.00,337.44,345.98,335.36
11/29/2012,349.50,2775139.00,347.43,350.52,344.51
11/30/2012,352.78,3162630.00,349.21,353.21,346.37
12/3/2012,351.20,2192348.00,354.73,356.58,350.63
12/4/2012,349.07,1991355.00,351.08,351.33,346.38
12/5/2012,347.45,1860794.00,349.64,350.82,344.68
12/6/2012,349.12,1462216.00,347.33,351.38,345.78
12/7/2012,345.63,1918392.00,351.08,352.03,344.72
12/10/2012,346.24,1366366.00,346.22,349.38,345.41
12/11/2012,352.03,2687108.00,348.55,354.57,347.40
12/12/2012,352.37,2425774.00,353.21,355.37,350.31
12/13/2012,354.97,3443866.00,361.64,361.92,353.37
12/14/2012,354.59,2129893.00,353.18,357.55,352.81
12/17/2012,364.10,3034558.00,356.38,372.94,355.63
12/18/2012,364.24,3004838.00,361.99,368.30,361.20
12/19/2012,363.76,1918493.00,364.06,365.22,362.03
12/20/2012,364.90,1656953.00,365.35,366.05,362.17
12/21/2012,361.50,3525039.00,360.66,363.11,358.92
12/24/2012,358.40,841931.00,360.93,361.27,357.37
12/26/2012,358.08,1182317.00,357.68,360.11,354.82
12/27/2012,356.78,1647392.00,357.21,358.07,352.90
12/28/2012,353.61,1400727.00,354.46,357.09,353.61
12/31/2012,357.33,1997204.00,353.60,358.94,351.58
1/2/2013,365.35,2541125.00,363.41,367.24,361.96
1/3/2013,365.56,2318140.00,366.19,369.73,364.07
1/4/2013,372.78,2763352.00,368.42,374.55,367.58
1/7/2013,371.16,1655567.00,371.51,373.49,369.05
1/8/2013,370.42,1675767.00,371.55,371.94,365.94
1/9/2013,372.86,2023414.00,369.90,372.97,368.05
1/10/2013,374.55,1835680.00,375.24,376.33,370.52
1/11/2013,373.80,1285125.00,374.82,375.03,371.94
1/14/2013,365.35,2863106.00,372.29,374.92,364.89
1/15/2013,366.19,3927265.00,363.37,371.28,359.71
1/16/2013,361.27,2023007.00,364.92,365.90,360.51
1/17/2013,359.32,2209894.00,362.55,363.52,359.17
1/18/2013,355.88,3225898.00,358.83,360.05,354.27
1/22/2013,355.05,3746912.00,355.96,356.30,351.34
1/23/2013,374.56,5894240.00,371.78,378.35,371.68
1/24/2013,380.79,3381676.00,374.43,382.31,374.06
1/25/2013,380.71,2225604.00,379.25,383.14,378.99
1/28/2013,379.23,1626733.00,379.75,381.69,377.79
1/29/2013,380.72,1745448.00,377.22,382.37,377.11
1/30/2013,380.79,1732972.00,380.75,384.39,380.33
1/31/2013,381.73,1632827.00,379.12,382.71,378.99
2/1/2013,391.79,3740977.00,383.00,392.30,382.95
2/4/2013,383.42,3039252.00,387.79,389.20,383.04
2/5/2013,386.81,1870516.00,384.48,389.52,383.64
2/6/2013,389.05,2073310.00,383.44,390.46,383.15
2/7/2013,390.96,2839906.00,388.81,393.41,386.69
2/8/2013,396.73,3017515.00,394.08,397.38,393.79
2/11/2013,395.24,2166856.00,393.20,395.53,390.86
2/12/2013,394.37,1858945.00,394.90,398.00,393.69
2/13/2013,395.46,1197970.00,394.08,396.72,394.00
2/14/2013,397.96,1735119.00,393.88,398.43,392.89
2/15/2013,400.52,2729417.00,397.75,400.71,397.58
2/19/2013,407.58,2930859.00,402.09,407.65,401.73
2/20/2013,400.31,2763911.00,406.79,408.65,399.97
2/21/2013,401.86,3504108.00,403.11,406.87,399.68
2/22/2013,403.97,2053709.00,403.74,404.75,400.98
2/25/2013,399.45,2303464.00,405.28,408.36,399.31
2/26/2013,399.13,2202194.00,401.59,402.07,396.24
2/27/2013,404.00,2025716.00,401.49,406.52,399.63
2/28/2013,404.72,2264972.00,404.67,407.65,404.64
3/1/2013,407.24,2175125.00,403.00,407.72,402.17
3/4/2013,414.98,2765170.00,406.79,415.65,406.64
3/5/2013,423.62,4043572.00,418.73,424.40,418.71
3/6/2013,419.97,2872395.00,424.84,426.34,418.67
3/7/2013,420.58,2052201.00,421.32,422.61,419.06
3/8/2013,420.04,2911833.00,421.54,421.76,416.77
3/11/2013,421.71,1594652.00,420.12,424.17,420.03
3/12/2013,418.06,1994079.00,419.63,420.23,416.07
3/13/2013,416.90,1641213.00,418.21,419.62,415.39
3/14/2013,415.00,1650811.00,417.75,417.75,412.90
3/15/2013,411.34,3096363.00,413.46,414.37,410.85
3/18/2013,408.05,1837742.00,406.64,410.56,404.86
3/19/2013,409.83,2097435.00,409.79,413.84,407.37
3/20/2013,411.55,1463422.00,412.62,412.96,409.89
3/21/2013,409.80,1466416.00,409.82,412.66,409.09
3/22/2013,409.32,1487868.00,411.56,411.81,408.99
3/25/2013,408.99,1706904.00,410.38,413.83,407.56
3/26/2013,410.39,1191420.00,410.94,411.19,408.05
3/27/2013,405.46,2163095.00,407.49,407.65,404.79
3/28/2013,401.18,2286612.00,406.13,406.83,400.73
4/1/2013,404.72,1806580.00,401.60,405.25,400.71
4/2/2013,410.70,2041175.00,406.41,411.61,406.14
4/3/2013,407.25,1738253.00,410.92,411.29,404.45
4/4/2013,401.63,2447102.00,406.26,407.02,399.72
4/5/2013,395.55,3433494.00,397.07,397.54,392.19
4/8/2013,391.41,2831918.00,393.38,393.79,388.15
4/9/2013,392.83,2157238.00,391.74,395.91,390.53
4/10/2013,399.16,1978662.00,395.49,400.25,391.99
4/11/2013,399.26,2028666.00,400.52,400.63,396.06
4/12/2013,399.09,1636329.00,400.07,400.13,395.49
4/15/2013,394.99,2452511.00,397.02,402.60,392.51
4/16/2013,400.77,1741556.00,397.34,402.10,395.99
4/17/2013,395.31,2036508.00,397.42,399.49,393.05
4/18/2013,386.90,3285226.00,396.72,396.94,384.55
4/19/2013,404.05,5802611.00,388.54,405.85,387.07
4/22/2013,404.17,2883007.00,404.42,406.12,391.49
4/23/2013,408.11,2292052.00,404.62,411.95,404.30
4/24/2013,410.91,1829051.00,408.21,413.21,408.16
4/25/2013,408.71,1990183.00,412.32,412.44,407.97
4/26/2013,404.83,2487637.00,407.96,408.03,402.39
4/29/2013,413.74,2300254.00,405.76,415.58,405.63
4/30/2013,416.53,2306166.00,413.71,418.08,413.05
5/1/2013,414.44,1454134.00,415.87,416.60,412.38
5/2/2013,419.07,2016664.00,414.27,421.57,413.74
5/3/2013,427.21,2511142.00,422.79,427.76,422.30
5/6/2013,435.21,2140979.00,428.49,435.36,428.49
5/7/2013,433.03,1958986.00,435.95,436.38,429.71
5/8/2013,441.31,2466446.00,432.91,441.44,430.84
5/9/2013,440.22,2199550.00,439.90,444.36,438.58
5/10/2013,444.64,1897154.00,442.16,444.80,440.57
5/13/2013,443.28,1448030.00,443.97,445.78,441.18
5/14/2013,448.11,1576836.00,443.26,448.92,443.08
5/15/2013,462.66,3984994.00,452.36,462.90,451.61
5/16/2013,456.59,3203974.00,464.23,464.72,455.65
5/17/2013,459.27,2791803.00,459.69,461.44,454.89
5/20/2013,458.94,2272695.00,457.16,465.04,457.16
5/21/2013,458.15,1982685.00,458.68,460.52,453.42
5/22/2013,449.29,2557609.00,455.92,459.33,448.00
5/23/2013,445.94,2274946.00,443.01,449.56,441.50
5/24/2013,441.15,2296360.00,442.13,443.93,439.99
5/28/2013,445.17,2257410.00,446.30,450.66,444.73
5/29/2013,438.62,2012380.00,442.36,443.51,436.59
5/30/2013,439.86,2120587.00,439.44,443.97,437.66
5/31/2013,440.09,1969357.00,438.53,443.01,438.22
6/3/2013,438.28,2475396.00,440.99,441.48,431.91
6/4/2013,433.97,1867345.00,438.39,439.77,431.43
6/5/2013,434.27,2106491.00,435.69,439.20,432.97
6/6/2013,436.77,2578905.00,436.60,437.62,427.97
6/7/2013,444.39,2673069.00,439.69,444.53,437.11
6/10/2013,449.69,2337753.00,445.59,450.08,444.57
6/11/2013,444.43,1757482.00,446.53,448.06,444.29
6/12/2013,440.48,2204549.00,447.29,447.56,439.30
6/13/2013,443.01,2069414.00,438.96,444.36,437.20
6/14/2013,442.02,2244971.00,444.58,446.90,441.56
6/17/2013,447.68,2145138.00,444.14,449.29,443.66
6/18/2013,454.94,2151510.00,448.90,455.14,448.75
6/19/2013,454.97,2915792.00,455.32,460.11,453.37
6/20/2013,446.92,3371895.00,451.59,455.14,446.20
6/21/2013,445.00,3981576.00,448.74,449.52,441.03
6/24/2013,439.37,3016272.00,440.43,442.67,436.07
6/25/2013,437.56,2552561.00,443.14,444.37,436.70
6/26/2013,441.32,1831328.00,441.37,443.52,439.76
6/27/2013,443.05,1926354.00,443.92,446.90,442.84
6/28/2013,444.71,2348727.00,441.95,445.46,441.59
7/1/2013,448.51,1722652.00,447.79,450.63,447.05
7/2/2013,445.69,1891448.00,449.68,450.08,443.15
7/3/2013,447.78,1048628.00,444.48,449.16,443.77
7/5/2013,451.34,1701830.00,449.58,452.31,448.24
7/8/2013,457.20,1969450.00,454.23,457.80,453.16
7/9/2013,457.28,1961588.00,460.19,461.17,453.61
7/10/2013,457.66,1706796.00,456.37,460.26,454.82
7/11/2013,464.85,2583821.00,461.20,465.14,458.93
7/12/2013,466.25,2567441.00,464.73,466.25,462.33
7/15/2013,467.10,1958669.00,466.91,468.77,462.89
7/16/2013,464.54,1982952.00,468.34,468.76,461.65
7/17/2013,464.00,1505868.00,465.24,468.20,462.86
7/18/2013,460.03,3579481.00,464.22,464.73,456.24
7/19/2013,452.91,7358055.00,447.87,456.12,442.31
7/22/2013,460.04,2902800.00,455.64,461.03,453.12
7/23/2013,456.55,2045127.00,460.04,461.20,454.41
7/24/2013,456.10,2063078.00,458.30,459.83,454.98
7/25/2013,448.42,3000533.00,451.53,453.04,447.60
7/26/2013,447.23,1777562.00,448.06,449.57,445.54
7/29/2013,445.67,1891862.00,447.00,452.01,444.98
7/30/2013,450.04,1755610.00,447.29,452.41,444.97
7/31/2013,448.44,2072892.00,451.09,452.87,447.65
8/1/2013,456.76,2133480.00,452.10,456.93,452.10
8/2/2013,457.95,1713765.00,456.37,458.17,455.04
8/5/2013,457.16,1309721.00,457.35,457.42,454.23
8/6/2013,452.90,1504606.00,457.00,459.53,452.47
8/7/2013,449.91,1379208.00,452.12,453.85,449.12
8/8/2013,450.92,1487625.00,452.35,452.53,447.20
8/9/2013,449.79,1323661.00,449.86,452.37,449.58
8/12/2013,447.31,1377034.00,448.01,448.06,445.36
8/13/2013,445.16,1419756.00,447.98,448.82,442.61
8/14/2013,439.38,2082097.00,443.70,444.64,438.04
8/15/2013,434.25,1869174.00,436.67,436.91,433.41
